Funder Name,DMP required,Data Sharing required,Minimum Data Retention period,Overview,Link to guidance,Data Guidance reviewed 
AHRC,Y,Y,3 years,"Called Technical Plan, may be changing in March 2018 - more to follow",http://www.ahrc.ac.uk/funding/research/researchfundingguide/,01/02/2018
Alzheimers Society ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. Open Access for publications is required,https://www.alzheimers.org.uk/downloads/download/1454/alzheimers_society_grant_application_guidance_2018,01/02/2018
Anatomical Society ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.anatsoc.org.uk/funding-and-awards/grants-and-prizes/anatomical-society-research-studentships,01/02/2018
Arthritis Research UK ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.arthritisresearchuk.org/research.aspx,13/02/2018
AXA Research Fund,N,N,N/A,"The AXA Research Fund supports the basic principle of Open Access to research data. Nevertheless, considering the fast evolution of current debates and the diversity of approaches between disciplines, no binding commitment to open research data will be requested. Nevertheless, the AXA Research Fund recommends and strongly encourages all its funded researchers to follow best practices:
 *  By retaining files of all the research data they have produced and used during the course of their work, and that they be prepared to share these data with other researchers whenever they are not bound by copyright restrictions, confidentiality requirements, or contractual clauses.
 *  By seeking to establish and practice good research data management in accordance with the current best practices in their respective fields and to share their data with other researchers in a responsible way.",https://www.axa-research.org/en/page/general-terms,13/02/2018
BBSRC,Y,Y,10 years,"Researchers are expected to ensure that data are maintained for a period of 10 years after the completion of the research project in suitable accessible formats using established standards where possible such that the data can be made
available on request",https://www.bbsrc.ac.uk/funding/apply/application-guidance/data-management/,13/02/2018
BRE Trust ,N,N,N/A,No grant applicant guidance available,https://www.bre.co.uk/bretrust/index.jsp,13/02/2018
British Academy,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.britac.ac.uk/about-our-funding,13/02/2018
British Council,N,N,N/A,No grant applicant guidance available,https://www.britishcouncil.org/research,13/02/2018
British Heart Foundation,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.bhf.org.uk/research/information-for-researchers,13/02/2018
